state,city,year,population,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,non_violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
TX,Harlingen,2012,67112,271,4,23,62,182,6544,3272,606,2555,111
GA,Brunswick,2012,15691,220,4,3,61,152,2226,1113,294,788,31
NY,Buffalo1,2012,262434,3382,48,138,1388,1808,26908,13454,3976,8371,1107
NY,Cheektowaga Town1,2012,79178,175,0,19,66,90,5642,2821,338,2396,87
NY,Niagara Falls1,2012,50356,619,3,26,171,419,5926,2963,750,2083,130
NC,Burlington,2012,51430,406,2,17,105,282,5584,2792,671,1998,123
OH,Canton,2012,72914,729,10,64,414,241,9444,4722,1590,2671,461
OH,Massillon,2012,32104,66,0,14,31,21,2194,1097,353,713,31
FL,Cape Coral,2012,159625,229,4,16,41,168,7042,3521,860,2547,114
FL,Fort Myers,2012,64379,754,24,26,172,532,4692,2346,507,1639,200
MO-IL,Cape Girardeau,2012,38474,243,3,12,66,162,5256,2628,500,2052,76
WY,Casper,2012,56801,86,3,2,12,69,3936,1968,363,1501,104
IA,Cedar Rapids,2012,128401,356,3,43,97,213,9446,4723,966,3503,254
PA,Chambersburg,2012,20458,82,2,8,31,41,1608,804,120,661,23
PA,Waynesboro,2012,10670,18,0,1,4,13,440,220,33,179,8
IL,Champaign,2012,81329,741,3,51,135,552,5400,2700,722,1897,81
IL,Urba,2012,41537,148,0,20,68,60,2886,1443,416,974,53
SC,Charleston,2012,123856,296,12,19,104,161,6746,3373,374,2764,235
SC,North Charleston,2012,100676,737,13,61,212,451,11514,5757,854,4363,540
VA,Charlottesville,2012,43991,198,2,17,50,129,3004,1502,162,1246,94
WY,Cheyenne,2012,60969,140,0,21,21,98,4162,2081,255,1730,96
IL-IN-WI,County,2012,,,,,,,0,,,,
IL-IN-WI,Chicago IL4,2012,2708382,,500,,13476,12272,224932,112466,22748,72717,17001
IL-IN-WI,perville,2012,142840,119,3,7,24,85,4088,2044,255,1748,41
IL-IN-WI,Elgin,2012,109155,257,2,67,76,112,3964,1982,357,1546,79
IL-IN-WI,Gary,2012,80472,728,37,56,275,360,8950,4475,1634,2066,775
IL-IN-WI,Arlington Heights,2012,75463,41,1,7,8,25,1956,978,140,821,17
IL-IN-WI,Evanston,2012,74820,228,3,4,79,142,4108,2054,421,1570,63
IL-IN-WI,Schaumburg,2012,74585,68,0,13,18,37,4974,2487,199,2226,62
IL-IN-WI,Skokie,2012,65096,134,0,17,37,80,3154,1577,284,1232,61
IL-IN-WI,Des Plaines,2012,58644,65,0,4,13,48,1882,941,137,757,47
IL-IN-WI,Hoffman Estates,2012,52148,66,0,13,26,27,1420,710,129,560,21
CA,Chico,2012,87090,282,1,46,95,140,4582,2291,778,1259,254
OH-KY-IN,Counties,2012,,,,,,,0,,,,
OH-KY-IN,Cincinti,2012,296204,2887,46,188,1725,928,36346,18173,5483,11590,1100
TN-KY,Clarksville,2012,137356,875,10,46,99,720,7482,3741,976,2598,167
TN,Cleveland,2012,42068,371,0,29,39,303,4450,2225,398,1751,76
ID,Coeur d'Alene,2012,45267,260,0,26,14,220,3956,1978,431,1395,152
TX,College Station,2012,96567,491,3,34,38,416,4796,2398,576,1762,60
TX,Bryan,2012,78749,312,1,31,69,211,4946,2473,496,1889,88
CO,Colorado Springs,2012,432287,1968,18,358,523,1069,35798,17899,3641,12456,1802
MO,Columbia,2012,110646,476,3,41,162,270,8442,4221,784,3294,143
GA-AL,Columbus,2012,196178,994,17,31,423,523,22532,11266,2709,7711,846
IN,Columbus,2012,44817,83,1,12,22,48,4420,2210,262,1768,180
TX,Corpus Christi,2012,312565,2057,16,184,375,1482,28122,14061,2452,11166,443
OR,Corvallis,2012,55062,67,1,11,15,40,2836,1418,235,1153,30
FL,Crestview,2012,21574,186,1,14,38,133,1866,933,167,728,38
FL,Fort Walton Beach,2012,20063,48,1,4,7,36,1544,772,143,586,43
MD-WV,Cumberland,2012,20939,166,0,15,27,124,2830,1415,317,1068,30
TX,Dallas,2012,1241549,8380,154,486,4093,3647,108600,54300,16090,31148,7062
TX,Fort Worth,2012,770101,4524,44,391,1280,2809,65028,32514,8442,21648,2424
TX,Arlington,2012,379295,1909,17,135,532,1225,30218,15109,3543,10616,950
TX,Plano,2012,273816,358,1,55,110,192,12906,6453,1095,5043,315
TX,Irving,2012,224007,507,3,27,135,342,12614,6307,1277,4466,564
TX,Denton,2012,118942,369,1,86,82,200,6524,3262,632,2473,157
TX,Richardson,2012,103266,171,2,27,80,62,6008,3004,698,2175,131
GA,Dalton,2012,33668,88,2,8,26,52,2500,1250,229,984,37
IL,Danville,2012,32997,328,3,42,80,203,3960,1980,659,1247,74
AL,Daphne,2012,22198,40,1,4,2,33,1028,514,77,421,16
AL,Fairhope,2012,15766,43,1,2,5,35,1298,649,131,503,15
AL,Foley,2012,15049,54,0,4,15,35,1330,665,87,549,29
IA-IL,Davenport,2012,101193,604,4,40,151,409,8176,4088,890,2912,286
IA-IL,Moline,2012,43509,176,0,16,23,137,2708,1354,204,1095,55
IA-IL,Rock Island,2012,39038,222,4,6,39,173,2248,1124,217,856,51
OH,Dayton,2012,142139,1384,24,112,633,615,16770,8385,3043,4649,693
AL,Decatur,2012,56126,240,2,9,80,149,5826,2913,821,1964,128
IL,Decatur,2012,76131,352,6,26,106,214,4896,2448,921,1445,82
